datetime,value
2022-03-28 18:00:00,16704.005684051568
2022-03-28 19:00:00,16707.015140565924
2022-03-28 20:00:00,16709.256947456124
2022-03-28 21:00:00,4917.043369273132
2022-03-28 22:00:00,4917.577782465909
2022-03-28 23:00:00,4919.05307356546
2022-03-29 00:00:00,4106.092542917716
2022-03-29 01:00:00,4107.005858753407
2022-03-29 02:00:00,4106.807242988822
2022-03-29 03:00:00,4108.1985092751665
2022-03-29 04:00:00,4108.663690588809
2022-03-29 05:00:00,4109.400620203011
2022-03-29 06:00:00,8122.5483143781175
2022-03-29 07:00:00,8122.8523454245105
2022-03-29 08:00:00,8123.8959003946175
2022-03-29 09:00:00,8181.469768166362
2022-03-29 10:00:00,8182.792255364161
2022-03-29 11:00:00,8185.124910895122
2022-03-29 12:00:00,8186.647132638912
2022-03-29 13:00:00,8187.107772093172
2022-03-29 14:00:00,8187.445092755524
2022-03-29 15:00:00,8188.490692190439
2022-03-29 16:00:00,8191.27502703483
2022-03-29 17:00:00,16759.840422548594
2022-03-29 18:00:00,16762.974458995395
2022-03-29 19:00:00,16765.081776964962
2022-03-29 20:00:00,16768.48384917045
2022-03-29 21:00:00,4934.699833582227
2022-03-29 22:00:00,4934.849363782207
2022-03-29 23:00:00,4935.551746029566
2022-03-30 00:00:00,4119.834981444921
2022-03-30 01:00:00,4120.560674612631
2022-03-30 02:00:00,4121.024400425723
2022-03-30 03:00:00,4121.085313597788
2022-03-30 04:00:00,4123.659411156446
2022-03-30 05:00:00,4123.411257848471
2022-03-30 06:00:00,8150.42525215298
2022-03-30 07:00:00,8150.816445973174
2022-03-30 08:00:00,8153.346930860144
2022-03-30 09:00:00,8210.604517940463
2022-03-30 10:00:00,8212.48638516881
2022-03-30 11:00:00,8212.518119696037
2022-03-30 12:00:00,8214.221816756826
2022-03-30 13:00:00,8215.027962058595
2022-03-30 14:00:00,8215.982375842368
2022-03-30 15:00:00,8217.189910721498
2022-03-30 16:00:00,8218.754502100783
2022-03-30 17:00:00,16818.887715823003
2022-03-30 18:00:00,16819.07237951409
2022-03-30 19:00:00,16824.595789142342
2022-03-30 20:00:00,16825.31387817073
2022-03-30 21:00:00,4950.981930110401
2022-03-30 22:00:00,4951.756714238726
2022-03-30 23:00:00,4953.90108950994
2022-03-31 00:00:00,4135.23678755107
2022-03-31 01:00:00,4135.452288026336
2022-03-31 02:00:00,4135.941367207385
2022-03-31 03:00:00,4136.82352622776
2022-03-31 04:00:00,4136.724361252441
2022-03-31 05:00:00,4137.600927782496
2022-03-31 06:00:00,8178.074331004708
2022-03-31 07:00:00,8179.2199248824445
2022-03-31 08:00:00,8180.969176550851
2022-03-31 09:00:00,8239.579430713497
2022-03-31 10:00:00,8240.701943827196
2022-03-31 11:00:00,8241.982322387472
2022-03-31 12:00:00,8243.51719636427
